date,VaR_95,VaR_99
2013-11-22,-2.703234595483328,-4.750550016284119
2013-11-25,-2.629627440008301,-4.621195917966213
2013-11-26,-2.5946250983570804,-4.5596842848364
2013-11-27,-2.785194857490488,-4.894583510329851
2013-11-29,-3.0854179420586845,-5.422182846942111
2013-12-02,-3.176424372487429,-5.58211369433419
2013-12-03,-3.0991227749470407,-5.446267139962678
2013-12-04,-3.4477243515020675,-6.058884789924374
2013-12-05,-3.274171186058798,-5.7538898056561765
2013-12-06,-3.1272727843292083,-5.495736774508008
2013-12-09,-3.152240431316567,-5.5396138601300065
2013-12-10,-3.089835763791751,-5.4299465397940105
2013-12-11,-2.95831349409028,-5.198814872007576
2013-12-12,-2.895265712884461,-5.088017370919651
2013-12-13,-2.7892722220416286,-4.901748898146056
2013-12-16,-2.8109272664114227,-4.939804556191954
2013-12-17,-2.7293197524777484,-4.796390966674317
2013-12-18,-2.6669976009064045,-4.686868656381017
2013-12-19,-2.6520875306614866,-4.66066633026284
2013-12-20,-2.7097274132088263,-4.761960219232518
2013-12-23,-2.671877272682503,-4.695443984942637
2013-12-24,-3.5915181372396145,-6.311581900385452
2013-12-26,-3.4113484022664493,-5.994959236987774
2013-12-27,-3.2753962671218333,-5.75604271124331
2013-12-30,-3.159055234939781,-5.5515899074613495
2013-12-31,-3.1034431325478273,-5.453859553475387
2014-01-02,-3.0527566593751922,-5.364785291715801
2014-01-03,-3.0950370161214633,-5.4390870004040135
2014-01-06,-3.347689094414834,-5.8830870648661175
2014-01-07,-3.1933886585913114,-5.611926012422194
2014-01-08,-3.0930954996540927,-5.4356750615729945
2014-01-09,-2.9786660119592994,-5.234581525133294
2014-01-10,-3.0056402695600815,-5.2819849432823345
2014-01-13,-2.926257449401551,-5.142480936405951
2014-01-14,-2.8262747309750393,-4.966775540565426
2014-01-15,-3.0064402794425287,-5.283390846775297
2014-01-16,-3.153434136507268,-5.541711627087635
2014-01-17,-3.0412983133817924,-5.344648879642472
2014-01-21,-3.393300613641962,-5.963242817448307
2014-01-22,-3.364776594336183,-5.913115913699752
2014-01-23,-3.2025702622606755,-5.6280613739383165
2014-01-24,-3.093686901592228,-5.436714366297613
2014-01-27,-3.232339479436107,-5.680376535698159
2014-01-28,-3.115577763490636,-5.4751844400831855
2014-01-29,-6.433637550876371,-11.306202215356475
2014-01-30,-5.994537831619917,-10.534546961332495
2014-01-31,-5.543365413652273,-9.741675657782194
2014-02-03,-5.13415028551299,-9.022538318798043
2014-02-04,-4.766921391444192,-8.377185809765576
2014-02-05,-4.529865556259041,-7.960593922557313
2014-02-06,-4.2487296795656775,-7.4665376368634275
